##Temp./°C	DSC/(mW/mg)
	GFP
152,07889	0,233754074094358
152,32889	0,232364074094358
152,57889	0,231194074094358
152,82889	0,229374074094358
153,07889	0,226974074094358
153,32889	0,224894074094358
153,57889	0,222994074094358
153,82889	0,219954074094358
154,07889	0,217594074094358
154,32889	0,213254074094358
154,57889	0,209834074094358
154,82889	0,206804074094358
155,07889	0,204124074094358
155,32889	0,199284074094358
155,57889	0,195984074094358
155,82889	0,192824074094358
156,07889	0,187524074094358
156,32889	0,181834074094358
156,57889	0,176704074094358
156,82889	0,171384074094358
157,07889	0,165964074094358
157,32889	0,161554074094358
157,57889	0,157344074094358
157,82889	0,153914074094358
158,07889	0,150164074094358
158,32889	0,147854074094358
158,57889	0,145254074094358
158,82889	0,142764074094358
159,07889	0,140434074094358
159,32889	0,138024074094358
159,57889	0,136244074094358
159,82889	0,135194074094358
160,07889	0,133694074094358
160,32889	0,132834074094358
160,57889	0,132174074094358
160,82889	0,131394074094358
161,07889	0,130494074094358
161,32889	0,130204074094358
161,57889	0,129294074094358
161,82889	0,128754074094358
162,07889	0,128654074094358
162,32889	0,128434074094358
162,57889	0,127944074094358
162,82889	0,127334074094358
163,07889	0,127254074094358
163,32889	0,126874074094358
163,57889	0,127164074094358
163,82889	0,126884074094358
164,07889	0,126914074094358
164,32889	0,126624074094358
164,57889	0,126604074094358
164,82889	0,126664074094358
165,07889	0,126254074094358
165,32889	0,126444074094358
165,57889	0,125934074094358
165,82889	0,126034074094358
166,07889	0,126004074094358
166,32889	0,125844074094358
166,57889	0,125894074094358
166,82889	0,125694074094358
167,07889	0,125654074094358
167,32889	0,125484074094358
167,57889	0,125784074094358
167,82889	0,125774074094358
168,07889	0,126104074094358
168,32889	0,125864074094358
168,57889	0,126014074094358
168,82889	0,126434074094358
169,07889	0,125984074094358
169,32889	0,126404074094358
169,57889	0,126954074094358
169,82889	0,126524074094358
170,07889	0,126674074094358
170,32889	0,127284074094358
170,57889	0,127034074094358
170,82889	0,127554074094358
171,07889	0,127664074094358
171,32889	0,128044074094358
171,57889	0,128004074094358
171,82889	0,127914074094358
172,07889	0,128544074094358
172,32889	0,128604074094358
172,57889	0,128724074094358
172,82889	0,128564074094358
173,07889	0,129344074094358
173,32889	0,129224074094358
173,57889	0,129164074094358
173,82889	0,130044074094358
174,07889	0,130404074094358
174,32889	0,130234074094358
174,57889	0,130274074094358
174,82889	0,130384074094358
175,07889	0,130934074094358
175,32889	0,130704074094358
175,57889	0,131104074094358
175,82889	0,131354074094358
176,07889	0,131424074094358
176,32889	0,131584074094358
176,57889	0,131444074094358
176,82889	0,131654074094358
177,07889	0,131954074094358
177,32889	0,132484074094358
177,57889	0,132704074094358
177,82889	0,132544074094358
178,07889	0,133104074094358
178,32889	0,133064074094358
178,57889	0,133194074094358
178,82889	0,133424074094358
179,07889	0,133654074094358
179,32889	0,133934074094358
179,57889	0,133974074094358
179,82889	0,134944074094358
180,07889	0,134634074094358
180,32889	0,134614074094358
180,57889	0,134994074094358
180,82889	0,135814074094358
181,07889	0,136044074094358
181,32889	0,135834074094358
181,57889	0,135764074094358
181,82889	0,135974074094358
